"","word","POS","logfreq","nmorph","ico","fun"
"1464","feast","Noun",2.53529412004277,"1",0.5,2.631578947
"1465","towel","Noun",2.85913829729453,"1",-0.235294118,2.64516129
"1466","campus","Noun",2.73798732633343,"1",NA,2.193548387
"1467","embrace","Verb",2.58771096501891,"1",1.45454545454545,2.233333333
"1468","tube","Noun",2.9237619608287,"1",NA,2.538461538
"1469","praise","Verb",2.68394713075151,"1",NA,2.214285714
"1470","debate","Noun",2.67669360962487,"1",NA,2.054054054
"1471","poet","Noun",2.6730209071289,"1",0.8,2.322580645
"1472","tax","Noun",2.87098881376058,"1",-0.0714285714285714,1.448275862
"1473","steak","Noun",2.91855453055027,"1",-1.4,2.3
"1474","vault","Noun",2.78887511577542,"1",0.545454545454545,2.5625
"1475","boot","Noun",2.75511226639507,"1",NA,2.206896552
"1476","spider","Noun",2.71264970162721,"1",-0.545454545454545,2.029411765
"1477","frog","Noun",2.78103693862113,"1",2.181818182,2.44
"1478","scar","Noun",2.63648789635337,"1",0.8,1.743589744
"1479","burst","Verb",2.63948648926859,"1",2.91666666666667,2.594594595
"1480","slice","Noun",2.63948648926859,"1",NA,2.466666667
"1481","observe","Verb",2.69897000433602,"1",1.45454545454545,NA
"1482","barrel","Noun",2.73479982958885,"1",1,2.348837209
"1483","powder","Noun",2.91328390176042,"1",0.307692307692308,2.552631579
"1484","nanny","Noun",2.72591163229505,"1",NA,2.731707317
"1485","kit","Noun",2.95472479097906,"1",NA,2.666666667
"1486","tomb","Noun",2.45939248775923,"1",0.909090909090909,1.818181818
"1487","scent","Noun",2.48429983934679,"1",-0.133333333333333,2.366666667
"1488","worship","Verb",2.61278385671974,"1",NA,2.03125
"1489","twelve","Number",2.98272338766855,"1",NA,2.148148148
"1490","ladder","Noun",2.67486114073781,"1",1.384615385,2.3
"1491","fee","Noun",2.69460519893357,"1",-0.166666666666667,2.291666667
"1492","cocaine","Noun",2.62531245096167,"1",NA,2.482758621
"1493","compete","Verb",2.63648789635337,"1",1.08333333333333,NA
"1494","rhythm","Noun",2.74585519517373,"1",1.38461538461538,2.382352941
"1495","republic","Noun",2.45788189673399,"1",0.230769230769231,NA
"1496","ceiling","Noun",2.63042787502502,"1",0.7,2.125
"1497","length","Noun",2.55509444857832,"1",NA,1.916666667
"1498","ace","Noun",2.87621784059164,"1",NA,2.6
"1499","helmet","Noun",2.68484536164441,"1",0.9,2.153846154
"1500","sweep","Verb",2.68663626926229,"1",3.235294118,2.333333333
"1501","retire","Verb",2.69897000433602,"1",NA,2.0625
"1502","psycho","Noun",2.75050839485135,"1",NA,2.942857143
"1503","gut","Noun",2.69722934275972,"1",NA,2
